Date,Price,Open,High,Low,Vol.,Change %
"Aug 01, 2014",1451.1,1284.1,1296.6,1279.7,1.99K,0.67%
"Jul 31, 2014",1441.5,1295.1,1297.3,1280.6,5.66K,-1%
"Jul 30, 2014",1456.1,1298.6,1303,1291,0.00K,-0.04%
"Jul 29, 2014",1456.7,1310.9,1310.9,1310,0.05K,-0.36%
"Jul 28, 2014",1462,1307.4,1308,1304.3,0.05K,0.12%
"Jul 25, 2014",1460.3,1294.8,1294.8,1294.8,0.01K,0.9%
"Jul 24, 2014",1447.3,1297.5,1297.5,1297.5,0.00K,-0.89%
"Jul 23, 2014",1460.3,1304.5,1304.5,1304.5,-,-0.09%
"Jul 22, 2014",1461.6,1306.1,1306.1,1306.1,0.00K,-0.54%
"Jul 21, 2014",1469.6,1311,1315.5,1311,0.02K,0.33%
"Jul 18, 2014",1464.7,1322.7,1322.7,1306.2,0.03K,-0.5%
"Jul 17, 2014",1472.1,1303.1,1323.8,1303.1,0.02K,1.18%
"Jul 16, 2014",1454.9,1298.4,1303.1,1296.9,0.03K,0.25%
"Jul 15, 2014",1451.3,1307.4,1312.1,1294.1,0.37K,-0.64%
"Jul 14, 2014",1460.7,1332.8,1332.8,1304.7,0.10K,-2.16%
"Jul 11, 2014",1492.9,1337.9,1339,1336.2,0.11K,-0.12%
"Jul 10, 2014",1494.7,1330.5,1343.7,1328,0.03K,1.01%
"Jul 09, 2014",1479.7,1324,1330.4,1324,0.02K,0.56%
"Jul 08, 2014",1471.4,1318.4,1323.5,1316,0.01K,-0.04%
"Jul 07, 2014",1472,1319.6,1320.3,1313.2,0.09K,11.41%
"Jul 04, 2014",1321.3,1321.1,1324,1319.6,-,-10.46%
"Jul 03, 2014",1475.6,1327.3,1327.7,1313,0.04K,-0.62%
"Jul 02, 2014",1484.8,1326.8,1330.7,1326.8,0.23K,0.31%
"Jul 01, 2014",1480.2,1326.7,1331.4,1326.2,0.05K,0.35%
"Jun 30, 2014",1475.1,1315.3,1328.7,1311.8,0.74K,11.83%
"Jun 27, 2014",1319,1317.4,1320.9,1313.3,0.63K,0.22%
"Jun 26, 2014",1316.1,1319.6,1319.6,1312.4,0.59K,-0.46%
"Jun 25, 2014",1322.2,1315.3,1323.4,1312,0.29K,0.1%
"Jun 24, 2014",1320.9,1315.6,1325.6,1315.6,0.22K,0.22%
"Jun 23, 2014",1318,1312.3,1316.9,1312.3,0.14K,0.14%
"Jun 20, 2014",1316.2,1321.4,1321.4,1306.8,0.25K,0.19%
"Jun 19, 2014",1313.7,1277.2,1321,1277.2,0.60K,3.25%
"Jun 18, 2014",1272.4,1269.9,1272.7,1267.4,0.14K,0.06%
"Jun 17, 2014",1271.7,1272.8,1272.8,1260.9,0.82K,-0.25%
